,2,2,3,3,4,4
,0.01,0.1,0.01,0.1,0.01,0.1
Nelder-Mead,364.37309808015823,374.1426203250885,436.9807162261009,424.59459137916565,513.2092796254158,500.1064356255531
Powell,528.253889799118,567.6944933390618,673.5260541892052,661.9644228672981,797.0346025204658,769.3337677526474
BFGS,175.82524408578874,174.32182995796202,194.57527142047883,195.27011021852493,228.19685168027877,215.3057202577591
L-BFGS-B,120.91636858701706,121.74874858856201,143.56714056491853,135.90644078731538,154.82028091669082,150.17258885145188
SLSQP,163.37753038406373,169.97246353387834,183.20629792690278,182.46807944059373,207.68577702999116,208.93385393857955
CG,230.34268530130387,231.78484904050828,255.88518805503844,259.9535861372948,284.0270737719536,276.7510527276993
TNC,313.65924645900725,316.8414184832573,370.5515434908867,374.0778454828262,427.49964105129243,433.3498226809502
COBYLA,257.2540057611466,256.7001901435852,305.6484136962891,306.73134904146195,357.26673359155654,353.3970496702194
Brent,166.18261336803437,165.2759593653679,185.2199620461464,187.0106132245064,203.7575023341179,209.77305081367493
Golden,573.6963881969452,571.7160149478913,689.6378365278244,707.8527163934708,836.2250079417229,820.7055326342582
